Date, Tournament, Round, HomeTeam, AwayTeam, Referee, HomeGoals, AwayGoals, HomeShots, AwayShots, HomeTarget, AwayTarget, HomeCorners, AwayCorners, HomeFouls, AwayFouls, HomeYellows, AwayYellows, HomeReds, AwayReds, HomexG, AwayxG, OddsW1, OddsX, OddsW2, OddsOver2.5, OddsUnder2.5, OddsBttsYes, OddsBttsNo, LineCorners, OverCorners, UnderCorners, LineCards, OverCards, UnderCards, LineShots, OverShots, UnderShots, LineTarget, OverTarget, UnderTarget, HomeElo, AwayElo, ApplyHome
2026-03-31, World Cup, Playoff, RD Congo, Jamaica, Facundo Tello, 0, 0, 15, 4, 2, 1, 3, 6, 9, 9, 0, 2, 0, 0, , , 1.67, 3.30, 6.50, 2.75, 1.44, 2.25, 1.57, 8.5, 2.00, 1.73, 4.5, 1.95, 1.80, , , , , , , 1640, 1550, false
2026-03-31, World Cup, Playoff, Iraq, Bolivia, Iván Barton, 2, 1, 6, 15, 3, 6, 2, 16, 20, 12, 3, 2, 0, 0, , , 3.00, 3.00, 2.55, 2.63, 1.50, 2.10, 1.67, 8.5, 1.83, 1.83, , , , , , , , , , 1582, 1670, false
2026-03-26, World Cup, Playoff, República Checa, Irlanda, , 2, 2, 7, 9, 3, 3, 5, 8, 21, 11, 1, 2, 0, 0, , , 2.00, 3.40, 3.60, 2.20, 1.65, 1.93, 1.77, , , , , , , , , , , , , 1731, 1688, true
2026-03-26, World Cup, Playoff, Dinamarca, Macedonia del Norte, , 4, 0, 20, 3, 9, 0, 11, 2, 10, 8, 0, 2, 0, 0, 2.43, 0.25, 1.30, 5.25, 10.00, 1.55, 2.40, 2.25, 1.57, , , , , , , , , , , , , 1865, 1592, true
2026-03-26, World Cup, Playoff, Italia, Irlanda del Norte, , 2, 0, 19, 8, 8, 1, 12, 3, 11, 8, 1, 0, 0, 0, 1.63, 0.53, 1.29, 5.50, 11.00, 1.83, 1.95, 2.55, 1.45,,,,,,,,,,,,, 1759, 1602, true
2026-03-26, World Cup, Playoff, Polonia, Albania, , 2, 1, 15, 8, 4, 2, 6, 2, 20, 12, 2, 3, 0, 0, 1.25, 0.55, 1.67, 3.60, 5.75, 2.25, 1.62, 2.15, 1.62,,,,,,,,,,,,, 1735, 1668, true
2026-03-26, World Cup, Playoff, Eslovaquia, Kosovo, , 3, 4, 21, 9, 8, 5, 7, 3, 14, 16, 2, 3, 0, 0, 1.60, 1.56, 2.05, 3.25, 3.75, 2.60, 1.48, 2.10, 1.65,,,,,,,,,,,,, 1687, 1714, true
2026-03-26, World Cup, Playoff, Ucrania, Suecia, , 1, 3, 10, 10, 4, 4, 9, 3, 12, 10, 2, 1, 0, 0, 1.13, 2.58, 3.00, 3.10, 2.50, 2.10, 1.70, 1.83, 1.85,,,,,,,,,,,,, 1802, 1660, false
2026-03-26, World Cup, Playoff, Turquía, Rumanía, , 1, 0, 16, 6, 2, 0, 9, 3, 7, 12, 2, 1, 0, 0, 0.88, 0.66, 1.40, 4.75, 5.75, 1.55, 2.40, 1.67, 2.10,,,,,,,,,,,,, 1880, 1642, true
2026-03-26, World Cup, Playoff, Gales, Bosnia y Herzegovina, , 1, 1, 12, 9, 3, 4, 5, 3, 5, 16, 1, 3, 0, 0, , , 1.85, 3.40, 4.50, 1.85, 1.90, 1.85, 1.85,,,,,,,,,,,,, 1715, 1572, true
